Daily Statistics
      date  total_habits  avg_habits  std_habits  min_habits  max_habits  range_habits  total_habits_score  avg_habits_score  std_habits_score  min_habits_score  max_habits_score  range_habits_score  total_score
2022-11-25          17.0    0.607143    0.956045         0.0         4.0           4.0            0.417549          0.386338          0.066576               NaN          0.155583            0.155583     1.181628
2022-11-26          25.0    0.892857    1.065947         0.0         5.0           5.0            0.533138          0.583404          0.339677               NaN          0.600452            0.600452     2.657122
2022-11-27          18.0    0.642857    0.951190         0.0         4.0           4.0            0.298713          0.265120          0.054512               NaN          0.155583            0.155583     0.929511
2022-11-28          14.0    0.500000    0.693889         0.0         2.0           2.0            0.774057          0.749991          0.584864               NaN          0.734155            0.734155     3.577223
2022-11-29          17.0    0.607143    0.831745         0.0         3.0           3.0            0.417549          0.386338          0.242301               NaN          0.289286            0.289286     1.624761
2022-11-30          23.0    0.821429    0.983327         0.0         3.0           3.0            0.295466          0.340969          0.134370               NaN          0.289286            0.289286     1.349378
2022-12-01          29.0    1.035714    0.999338         0.0         4.0           4.0            1.008482          1.068275          0.174159               NaN          0.155583            0.155583     2.562081
2022-12-02          12.0    0.428571    0.741798         0.0         3.0           3.0            1.011729          0.992427          0.465812               NaN          0.289286            0.289286     3.048541
2022-12-03          17.0    0.607143    0.956045         0.0         4.0           4.0            0.417549          0.386338          0.066576               NaN          0.155583            0.155583     1.181628
2022-12-04          15.0    0.535714    0.692935         0.0         2.0           2.0            0.655221          0.628774          0.587235               NaN          0.734155            0.734155     3.339540
2022-12-05          22.0    0.785714    1.750283         0.0         9.0           9.0            0.176630          0.219751          2.040209               NaN          2.379927            2.379927     7.196445
2022-12-06          32.0    1.142857    1.078898         0.0         4.0           4.0            1.364990          1.431928          0.371859               NaN          0.155583            0.155583     3.479943
2022-12-07          14.0    0.500000    0.838870         0.0         3.0           3.0            0.774057          0.749991          0.224594               NaN          0.289286            0.289286     2.327215
2022-12-08          25.0    0.892857    0.956045         0.0         3.0           3.0            0.533138          0.583404          0.066576               NaN          0.289286            0.289286     1.761691
2022-12-09          15.0    0.535714    0.881167         0.0         4.0           4.0            0.655221          0.628774          0.119490               NaN          0.155583            0.155583     1.714650
2022-12-10          17.0    0.607143    0.685257         0.0         2.0           2.0            0.417549          0.386338          0.606314               NaN          0.734155            0.734155     2.878512
2022-12-11          18.0    0.642857    0.780042         0.0         3.0           3.0            0.298713          0.265120          0.370779               NaN          0.289286            0.289286     1.513185
2022-12-12          30.0    1.071429    1.961265         0.0         9.0           9.0            1.127318          1.189493          2.564485               NaN          2.379927            2.379927     9.641150
2022-12-13          32.0    1.142857    1.208436         0.0         4.0           4.0            1.364990          1.431928          0.693753               NaN          0.155583            0.155583     3.801836
2022-12-14          13.0    0.464286    0.507875         0.0         1.0           1.0            0.892893          0.871209          1.047098               NaN          1.179024            1.179024     5.169248
2022-12-15          35.0    1.250000    1.691482         0.0         7.0           7.0            1.721497          1.795582          1.894091               NaN          1.490189            1.490189     8.391549
2022-12-16          13.0    0.464286    0.961563         0.0         3.0           3.0            0.892893          0.871209          0.080289               NaN          0.289286            0.289286     2.422963
2022-12-17           4.0    0.142857    0.356348         0.0         1.0           1.0            1.962416          1.962169          1.423631               NaN          1.179024            1.179024     7.706264
